# feature1,feature2,output
4.809739868837041854e+01,6.698626061807377141e+01,9.733385039926339459e+02
3.997097398025817316e+00,8.185607409106616217e+01,4.921321958174714837e+02
2.332451298832794961e+01,2.582536923892090286e+01,6.468892723521967127e+02
9.328601276895244609e+01,9.135682275466656677e+01,7.061750773729659159e+02
5.321725219765336590e+01,4.985022312512744946e+01,9.791655087786675722e+02
7.452057239085340257e+01,1.659967070171446579e+01,7.057215479780356873e+02
9.852593443515327465e+01,2.798921556416276246e+01,6.474597694388656919e+02
2.493093784826747594e+01,6.628765584117680021e+01,8.216909104081943269e+02
1.931819070949841688e+01,2.444305181132517646e+01,5.897790748859836185e+02
2.671564034699355261e+01,7.808715837463013543e+01,7.984116085770880318e+02
4.810380337490471447e+00,7.453979924585061667e+01,5.422712256217016602e+02
7.576855368232752141e+01,7.628191520145590232e+01,9.279004354647956916e+02
5.369290160647356203e+01,4.977088956831088495e+01,9.798134053356862978e+02
6.308029946417786960e+01,8.034339773151087627e+01,9.406077526940529197e+02
6.162619668517825033e+01,6.778072916873485099e+01,9.912309527270660965e+02
4.351369895918308117e+01,9.769459543721895045e+01,7.621915753988125743e+02
4.581012355159014504e+01,2.331425807682184725e+01,7.826406264754248241e+02
1.101420354788953304e+01,5.351017510419767831e+01,6.569069602445323426e+02
6.760280433705834469e+01,1.898420690759942175e+01,7.555266806476457759e+02
5.985250494781201525e+01,6.097895298434222866e+01,9.999742686490268397e+02
6.747806445371155348e+01,6.693394294387914556e+01,9.854938162457594899e+02
1.090552977037831894e+01,6.091183906114970625e+01,6.612119295026213877e+02
2.007716836068296118e+01,2.873020288713206227e+01,6.386474962822815087e+02
6.068502570910852967e+01,8.188739342286235967e+01,9.327104553335835817e+02
8.836660386706324743e+01,7.994282213785783142e+01,8.311073896755349324e+02
8.352927590638682886e+01,5.911434344953382691e+01,9.221848868286385823e+02
9.562562360840549047e+01,6.519959233715627533e+01,8.179173279993136703e+02
4.519887069970025806e+01,8.785006451224003854e+01,8.602986738747321169e+02
5.076276417475584424e+01,8.454664810452669599e+01,9.034269142457460475e+02
8.128887122847018532e+01,9.638969453296800793e+01,7.502799187814167681e+02
6.315249258448750425e+01,4.660958309260156796e+01,9.735125547620501720e+02
8.745146389127353359e+01,1.984379439570633963e+01,6.675363173101953862e+02
1.760542517504869409e+01,1.669842142868602863e+01,4.839357295219278967e+02
9.912509521837579030e+01,5.320378930104175907e+01,7.784568638018658930e+02
9.857239307157328767e+01,3.284001755273011725e+01,6.873001703597486767e+02
6.306461349628305868e+01,2.965792646522685772e+01,8.693880559647755035e+02
7.866152314592696371e+01,7.587986013974649779e+01,9.157176280747537476e+02
3.180440983954810719e+01,5.599434734836314931e+01,8.861140431822975643e+02
7.504670377864833597e+01,2.323880969363276705e+01,7.783406428733612756e+02
5.194137822777946667e+01,4.354511415293361409e+01,9.529259271710809571e+02
9.221243926270388158e+01,4.870797744058307899e+00,4.270737487665949743e+02
2.689449891408515114e+01,3.375586459697783681e+01,7.492534295087322107e+02
4.750025192718595690e+01,9.188663163666453215e+01,8.352369093398147015e+02
8.735366992529766605e+01,6.042166520902470950e+01,8.949179874744784229e+02
8.555327031073086630e+01,8.991486813751425444e+00,5.426172578095553263e+02
2.074731867469908764e+01,2.203983496527878216e+01,5.810024760421465544e+02
3.411213556069389341e+01,6.644382344174171173e+00,5.057677102964458982e+02
3.206628953805859794e+01,5.492925717504098060e+01,8.868213251927517149e+02
6.759243014679134376e+01,2.311817375646430150e+01,8.008123166648300639e+02
1.394664024806102631e+01,1.263068060723735542e+01,3.866078083562555321e+02
6.224292883625363260e+01,3.069674689116540378e+01,8.787101563696259063e+02
7.583329448273599382e+01,3.440835231028403740e+01,8.728187539058255879e+02
7.771069595829985133e+01,6.364969899984576074e+01,9.541509776738820392e+02
