# x1,x1**2,x2,x2**2,y
1.426334524942961046e+01,2.034430177044262393e+02,9.664966593775552894e+00,9.341157925879741697e+01,5.510024769336330763e+01
1.064009890347692444e+00,1.132117046757708412e+00,2.533052350623374860e+00,6.416354210998604479e+00,5.808564967874532137e+00
1.764248637756271521e+01,3.112573255824859757e+02,8.459918546797528194e+00,7.157022181844880038e+01,6.084455672550635086e+01
5.756596314327149244e+00,3.313840112612491851e+01,5.078343940347326502e+00,2.578957717646241221e+01,2.048865565812489464e+01
1.209039484450499025e+01,1.461776474960328471e+02,2.070982963727148185e+00,4.288970436048082036e+00,3.088612061717902435e+01
8.608661579628831717e+00,7.410905419257757387e+01,4.686711573223185212e+00,2.196526537058414519e+01,2.632092133612385609e+01
1.119419395170930542e+01,1.253099782284851926e+02,1.389857074354272637e-01,1.931702687132618237e-02,2.670754168652273464e+01
6.899915514147534346e+00,4.760883410237383373e+01,5.652808502972507476e+00,3.195424397127828087e+01,2.428184015440934829e+01
5.910900419465720645e+00,3.493874376884003397e+01,1.769308753349368990e+00,3.130453464678698339e+00,1.527796027357135955e+01
9.632772354967066519e+00,9.279030324261776741e+01,7.788002760226707899e+00,6.065298699329881771e+01,3.673529361473391219e+01
1.386330915838797573e+01,1.921913408210439229e+02,2.604465184254485255e+00,6.783238895993750184e+00,3.653193706514299066e+01
1.420458684242296421e+01,2.017702873639356085e+02,2.466530209861332867e+00,6.083771276158590702e+00,3.722520880127429876e+01
1.039980184093658444e+00,1.081558783307479787e+00,4.384262957052652787e+00,1.922176167658406953e+01,8.781101480393751046e+00
3.882939644658787159e+00,1.507722028406290882e+01,8.625000525597801726e+00,7.439063406656235600e+01,2.575761716750557184e+01
1.971788000239932259e+01,3.887947917890190865e+02,9.697351220538548588e+00,9.403862069448047123e+01,7.136210834972125383e+01
1.463104367426689123e+01,2.140674389983052208e+02,4.231641547615581089e+00,1.790679018750639173e+01,4.126017579017961623e+01
1.538345645556978525e+01,2.366507325204117080e+02,1.730157853307044968e+00,2.993446197360042138e+00,3.961729944429551864e+01
7.864845759176333218e+00,6.185579881563395332e+01,4.053247770487766743e-01,1.642881748896405092e-01,1.847823203451344654e+01
3.463721201861460486e+00,1.199736456422460051e+01,5.446109163145957055e+00,2.966010501690235657e+01,1.618985039516724811e+01
1.073445149390934361e+01,1.152284488750925391e+02,1.233480497449315205e+00,1.521474137587810027e+00,2.639270887318456715e+01
5.500772276873798106e+00,3.025849564202334818e+01,8.987604144759989921e+00,8.077702826290695270e+01,3.062403053056094748e+01
1.972993356712140489e+00,3.892702785630239859e+00,5.207345614773321252e+00,2.711644835169893852e+01,1.244129665537705520e+01
2.468078164741527303e+00,6.091409827273905897e+00,5.494398697999392844e+00,3.018841705257742447e+01,1.419538308263761728e+01
3.018893154216277797e+00,9.113715876573907693e+00,1.028305687316203310e+00,1.057412586566849333e+00,8.002913918796878079e+00
5.634745019821957968e+00,3.175035143840835872e+01,8.287908032373048073e-01,6.868941955307369396e-01,1.369343728762989798e+01
5.087513520696482772e+00,2.588279382326952316e+01,2.368353859891658697e+00,5.609100005663718136e+00,1.414585668166491850e+01
1.850494477236107116e+01,3.424329810281333266e+02,5.714358870252001843e+00,3.265389729802773644e+01,5.594125874618636374e+01
1.557131510186078316e+00,2.424658540014376751e+00,4.803029470628431774e+00,2.306909209572523523e+01,1.068999520662881686e+01
1.211812240950004238e+01,1.468488907316271082e+02,2.871843236847953840e+00,8.247483577029333546e+00,3.222322140065219287e+01
5.873759704907777213e-01,3.450105307099829988e-01,6.613397374022654596e+00,4.373702482672974412e+01,1.296017958433708017e+01
1.819061123797026269e+01,3.308983372109699985e+02,2.431055874893814028e+00,5.910032666855727257e+00,4.876608987844335275e+01
2.409003506500009273e+00,5.803297894329340068e+00,5.064115777658171780e+00,2.564526860952642906e+01,1.316119360380417902e+01
1.212413956139604387e+01,1.469947601042086660e+02,4.366384378476314332e+00,1.906531254060199032e+01,3.481360107992100694e+01
1.440388425402057315e+01,2.074718816032218172e+02,3.103079095853281899e+00,9.629099875121621466e+00,3.879672064748727678e+01
1.963074222736171137e+01,3.853660403971222195e+02,8.257893156434079174e+00,6.819279938308079636e+01,6.617075311176860453e+01
1.757000021693735192e+01,3.087049076231785989e+02,4.061705057477097647e+00,1.649744797393503148e+01,4.952911992085911663e+01
7.894547327044422858e+00,6.232387749894424189e+01,4.554091190652997945e+00,2.073974657278323974e+01,2.441734829485662317e+01
8.779968391180894116e+00,7.708784495013561866e+01,7.719648309472074033e+00,5.959297002193505222e+01,3.434543856022155239e+01
1.188340672239618367e+00,1.412153553298908015e+00,8.396763722820554943e-01,7.050564101687530894e-01,4.018938165455175238e+00
1.536321015868240281e+01,2.360282263798421809e+02,2.440422115638856138e+00,5.955660102499230391e+00,4.042575512302957463e+01
8.718876972189075758e+00,7.601881565616893965e+01,3.284473537226968443e+00,1.078776641674423331e+01,2.398948664192539582e+01
7.894289695190172651e+00,6.231980979158574740e+01,9.218131443046027940e+00,8.497394730127383866e+01,3.685766968408960054e+01
3.225278575409811221e+00,1.040242188899754083e+01,6.933244339129117861e+00,4.806987706606595623e+01,1.933446893094946617e+01
8.980200276991968877e+00,8.064399701488663652e+01,7.196458847370388767e+00,5.178901994189554614e+01,3.336279498126461363e+01
6.468784341256188952e+00,4.184517085368126743e+01,8.649907373714221137e+00,7.482089757383565143e+01,3.157943498669040849e+01
1.697705711847167720e+01,2.882204684038498499e+02,1.705137025638059356e-01,2.907492276201808015e-02,4.289032553382946844e+01
3.453977787521056442e-01,1.192996255668885147e-01,5.173729942767540280e+00,2.676748152068941522e+01,9.093556589536131440e+00
1.543167435561657896e+01,2.381365734177943523e+02,9.104010819884173600e+00,8.288301300856809917e+01,5.636602888453307258e+01
1.569989978184946011e+01,2.464868531601167376e+02,9.922044207737334531e+00,9.844696126029398897e+01,5.994388308661919496e+01
6.180894112606911683e+00,3.820345203125878442e+01,2.325584422459729961e+00,5.408342905987355564e+00,1.654447216668292953e+01
4.369886604269163755e+00,1.909590893417108148e+01,2.834429814484399124e+00,8.033992373238065809e+00,1.327440187437448849e+01
9.168068584838259483e+00,8.405348157629821060e+01,4.822220085002038026e-01,2.325380654819706183e-01,2.177684079094507297e+01
1.497703987561440897e+01,2.243117234357440850e+02,6.610281289368105107e+00,4.369581872457006000e+01,4.765183496860018408e+01
1.659938579099159028e+01,2.755396086381734904e+02,9.691751669960246840e-01,9.393005043217723671e-01,4.233794671161773948e+01
1.693263531541552780e+01,2.867141387248570936e+02,7.699813040794378338e+00,5.928712086318716956e+01,5.627555142948494904e+01
1.144822832896157827e+01,1.310619318720384001e+02,6.155552388589673463e+00,3.789082520867203385e+01,3.692152461567885524e+01
1.040740225944226083e+01,1.083140217898438777e+02,7.190532610351553444e+00,5.170375922052912188e+01,3.686083643301480350e+01
1.668590785836847701e+01,2.784195210579628679e+02,3.857095218671215964e+00,1.487718352589635451e+01,4.660576589192157826e+01
3.398234854196702237e-01,1.154800012427728145e-01,1.784713560478253802e+00,3.185202492954965603e+00,3.408924796319369843e+00
7.523676689668217676e+00,5.660571093065691173e+01,6.642255340683549392e+00,4.411955601083913336e+01,2.837670293747035899e+01
7.999271015413986774e+00,6.398833677804231712e+01,2.929156276616107224e+00,8.579956492839537319e+00,2.170053348537221893e+01
9.960768075282310008e+00,9.921690064956325728e+01,9.310211308010572395e+00,8.668003459980793934e+01,4.237975691073685169e+01
1.571825087813765176e+00,2.470634106680750453e+00,4.401401759085015186e+00,1.937233744487666698e+01,9.900109255733017477e+00
5.500100188946250412e+00,3.025110208844657933e+01,6.365419947028987835e+00,4.051857110203452095e+01,2.292116001723087848e+01
1.882126141988878487e+01,3.542398814357940182e+02,2.672463506915382148e+00,7.142061195794462414e+00,5.109792787487478449e+01
3.007288320139991367e+00,9.043783040450410482e+00,8.119067678877001981e+00,6.591925997418519501e+01,2.234231172128261278e+01
6.620269595541219410e+00,4.382796951764750304e+01,1.920126699976637541e+00,3.686886543963172169e+00,1.704344650437947450e+01
3.595075647195336010e+00,1.292456890905696376e+01,1.281571715818509150e+00,1.642426062785997676e+00,9.571575112125175977e+00
2.921965934837873480e+00,8.537884924352967531e+00,4.536926459780356247e+00,2.058370170145511580e+01,1.304250321007225111e+01
1.405284185744993408e+01,1.974823642704969018e+02,5.345861001199336826e+00,2.857822984414397638e+01,4.205760882194890371e+01
1.305073024738945087e+01,1.703215599901259054e+02,8.462265414569783317e+00,7.160993594662390649e+01,4.763762150290927622e+01
1.922136721492283584e+01,3.694609576109104410e+02,1.666639270255920735e+00,2.777686457159187938e+00,5.090322579900712441e+01
6.516138447669033162e+00,4.246006026919059906e+01,9.674138615039701961e+00,9.358895794300228488e+01,3.527395782594985008e+01
1.492154637283643837e+01,2.226525461567082687e+02,2.854254436262317896e+00,8.146768386923122662e+00,3.991362864175616210e+01
1.591802716486181879e+01,2.533835888212788063e+02,4.293206418087906151e+00,1.843162134831118948e+01,4.520045133114982860e+01
1.516766969973381229e+01,2.300582041202231949e+02,6.860173917206401129e+00,4.706198617431901710e+01,4.894160398362554787e+01
1.739107720252074074e+01,3.024495662640366618e+02,6.387125135538997966e+00,4.079536749703406429e+01,5.420911454347912439e+01
1.245793225153804684e+01,1.552000759839118302e+02,4.198988042748772465e+00,1.763150058314716873e+01,3.524953744565409863e+01
9.582510219411719987e+00,9.182450210513005118e+01,3.501043909434575774e-01,1.225730845578893863e-01,2.279881568948821169e+01
6.810719050632676463e+00,4.638589398665086350e+01,4.241059843388713446e+00,1.798658859520429942e+01,2.119830048216432417e+01
7.754891892609261816e+00,6.013834826605685890e+01,7.466038657135882772e+00,5.574173322984737666e+01,3.117807852901046317e+01
3.287115947122198900e+00,1.080513124982507023e+01,6.601642990467987637e+00,4.358169017359511344e+01,1.848810344414268059e+01
3.172798170983770483e+00,1.006664823379795948e+01,7.967899281502999198e-01,6.348741896017601194e-01,8.298507564976123518e+00
1.557052338819227799e+01,2.424411985822427482e+02,5.487065494753624151e+00,3.010788774371583543e+01,4.664078394011676920e+01
4.246579810203305883e+00,1.803344008442634561e+01,1.706812060036215772e+00,2.913207408285070521e+00,1.152424036103194283e+01
7.987696085440589400e+00,6.380328875336291361e+01,8.437860509657446606e-02,7.119748998043662867e-03,1.855088319024686783e+01
1.217431773536849171e+01,1.482140123217077985e+02,7.588200142778863011e+00,5.758078140686915702e+01,4.268670464674034548e+01
1.558543357402231599e+01,2.429057396902620098e+02,4.416361781767763617e-01,1.950425138745893461e-01,3.897419021095774383e+01
1.622866833268066600e+01,2.633696758521522838e+02,8.255322921364760536e-01,6.815035653601040355e-01,4.125769140623775399e+01
5.247373157377128727e+00,2.753492505276201641e+01,2.370916607380065599e+00,5.621245559150600535e+00,1.443211970384606246e+01
3.655360410264063553e+00,1.336165972892586318e+01,8.893405984322999558e-01,7.909267000199213804e-01,9.405313179851949812e+00
5.654966756972877207e+00,3.197864902246833907e+01,2.723208304150156245e+00,7.415863467792370045e+00,1.586002996342614502e+01
7.268863462632406680e+00,5.283637603839238039e+01,5.478557431048550086e+00,3.001459152529728769e+01,2.486362749278316997e+01
6.609217872786019576e+00,4.368176088995415540e+01,5.491452302610740688e+00,3.015604839184880603e+01,2.336095370898869916e+01
1.896618269212344288e+01,3.597160859110028355e+02,1.995092349466339732e+00,3.980393482899119650e+00,5.068808895923943680e+01
1.812391201314074607e+01,3.284761866600674693e+02,7.539239170749823415e+00,5.684012727376848773e+01,5.938603830303289755e+01
1.704617599548466345e+01,2.905721160690375768e+02,9.066147087439166086e+00,8.219502301108167330e+01,6.102379179138187482e+01
8.360251128834050860e+00,6.989379893717102732e+01,8.624659381342754116e+00,7.438474944418358348e+01,3.618722516976120573e+01
1.327078400167255268e+01,1.761137080190481754e+02,2.215089761927578671e+00,4.906622653396377487e+00,3.436268495975160420e+01
2.340926335231459099e+00,5.479936106980189514e+00,4.372215236190487353e+00,1.911626607157623781e+01,1.147356432573685048e+01
1.714082929625705631e+01,2.938080289634241922e+02,3.077327116963019193e+00,9.469942184795927531e+00,4.660602600809587415e+01
