,weight,prod_distance,time_delivery,target
0,82.0,1467.0,5.0,798952.4702069425
1,28.0,2043.0,9.0,576947.9627244101
2,73.0,2416.0,7.0,720237.0123281042
3,55.0,2488.0,8.0,677671.7724644243
4,37.0,1335.0,3.0,675912.2653672725
5,73.0,2936.0,4.0,823915.7308572765
6,37.0,2231.0,4.0,604837.0740008645
7,55.0,2796.0,1.0,734441.5212148326
8,64.0,2074.0,5.0,696575.8412369471
9,73.0,2476.0,11.0,724874.1787274452
10,82.0,2471.0,3.0,745489.562352141
11,55.0,1459.0,2.0,730893.2939110985
12,10.0,1804.0,8.0,521754.4918136714
13,46.0,1335.0,7.0,707226.4153672726
14,46.0,1804.0,9.0,665962.9318136714
15,37.0,1731.0,10.0,642398.7621824719
16,28.0,2028.0,14.0,576981.0247340297
17,73.0,2488.0,14.0,725459.6124644242
18,64.0,2488.0,5.0,703968.6924644242
19,1.0,2105.0,7.0,452035.45373112115
20,55.0,2231.0,10.0,664674.6540008646
21,82.0,1783.0,9.0,766031.1258336187
22,82.0,2796.0,12.0,802327.4412148325
23,46.0,2416.0,11.0,641770.6923281042
24,1.0,2631.0,11.0,480511.41799837875
25,10.0,2231.0,11.0,491131.7040008646
26,10.0,2118.0,9.0,494521.7924994892
27,64.0,2416.0,6.0,697330.5723281042
28,10.0,2231.0,6.0,491896.7040008646
29,82.0,1928.0,7.0,750954.9091183891
30,82.0,1467.0,7.0,798736.4702069425
31,64.0,2105.0,1.0,695083.6037311212
32,37.0,1237.0,14.0,672972.64180528
33,28.0,2913.0,6.0,671957.8904500827
34,1.0,2118.0,12.0,450546.1724994892
35,55.0,2796.0,14.0,732686.5212148326
36,73.0,2043.0,10.0,720886.3127244101
37,46.0,2231.0,11.0,635646.8640008646
38,19.0,1731.0,2.0,571095.182182472
39,1.0,2416.0,8.0,454266.4923281041
40,55.0,2105.0,11.0,668092.1537311212
41,28.0,1731.0,14.0,606908.972182472
42,46.0,1772.0,14.0,668549.4733498312
43,10.0,2476.0,5.0,503300.29872744525
44,64.0,1783.0,10.0,722843.1858336186
45,46.0,2105.0,6.0,640029.7037311213
46,64.0,2416.0,5.0,697429.5723281042
47,1.0,2936.0,1.0,557840.8108572764
48,64.0,1804.0,5.0,721151.6518136715
49,82.0,2796.0,6.0,803299.4412148325
50,28.0,2105.0,9.0,573221.8037311212
51,46.0,2476.0,7.0,647687.6587274452
52,73.0,1928.0,6.0,731008.3891183891
53,55.0,2700.0,6.0,711651.1314326305
54,37.0,2231.0,5.0,604756.0740008645
55,82.0,1284.0,14.0,803491.9318735134
56,19.0,1772.0,2.0,566389.0333498312
57,73.0,1346.0,14.0,783230.1969504637
58,19.0,1567.0,13.0,587586.9949412772
59,46.0,2135.0,6.0,638663.2579669729
60,64.0,1772.0,5.0,724767.4333498311
61,46.0,1161.0,12.0,699653.6049294312
62,1.0,2118.0,10.0,450942.1724994892
63,37.0,1804.0,4.0,634831.5718136714
64,10.0,1161.0,1.0,556810.6449294311
65,37.0,2680.0,3.0,647100.007679752
66,73.0,2476.0,12.0,724667.1787274452
